Waist,AT
74.75,25.72
72.6,25.89
81.8,42.6
83.95,42.8
74.65,29.84
71.85,21.68
80.9,29.08
83.4,32.98
63.5,11.44
73.2,32.22
71.9,28.32
75,43.86
73.1,38.21
79,42.48
77,30.96
68.85,55.78
75.95,43.78
74.15,33.41
73.8,43.35
75.9,29.31
76.85,36.6
80.9,40.25
79.9,35.43
89.2,60.09
82,45.84
92,70.4
86.6,83.45
80.5,84.3
86,78.89
82.5,64.75
83.5,72.56
88.1,89.31
90.8,78.94
89.4,83.55
102,127
94.5,121
91,107
103,129
80,74.02
79,55.48
83.5,73.13
76,50.5
80.5,50.88
86.5,140
83,96.54
107.1,118
94.3,107
94.5,123
79.7,65.92
79.3,81.29
89.8,111
83.8,90.73
85.2,133
75.5,41.9
78.4,41.71
78.6,58.16
87.8,88.85
86.3,155
85.5,70.77
83.7,75.08
77.6,57.05
84.9,99.73
79.8,27.96
108.3,123
119.6,90.41
119.9,106
96.5,144
105.5,121
105,97.13
107,166
107,87.99
101,154
97,100
100,123
108,217
100,140
103,109
104,127
106,112
109,192
103.5,132
110,126
110,153
112,158
108.5,183
104,184
111,121
108.5,159
121,245
109,137
97.5,165
105.5,152
98,181
94.5,80.95
97,137
105,125
106,241
99,134
91,150
102.5,198
106,151
109.1,229
115,253
101,188
100.1,124
93.3,62.2
101.8,133
107.9,208
108.5,208
