"Undergrad","Marital.Status","Taxable.Income","City.Population","Work.Experience","Urban"
"NO","Single",68833,50047,10,"YES"
"YES","Divorced",33700,134075,18,"YES"
"NO","Married",36925,160205,30,"YES"
"YES","Single",50190,193264,15,"YES"
"NO","Married",81002,27533,28,"NO"
"NO","Divorced",33329,116382,0,"NO"
"NO","Divorced",83357,80890,8,"YES"
"YES","Single",62774,131253,3,"YES"
"NO","Single",83519,102481,12,"YES"
"YES","Divorced",98152,155482,4,"YES"
"NO","Single",29732,102602,19,"YES"
"NO","Single",61063,94875,6,"YES"
"NO","Divorced",11794,148033,14,"YES"
"NO","Married",61830,86649,16,"YES"
"NO","Married",64070,57529,13,"YES"
"NO","Divorced",69869,107764,29,"NO"
"YES","Divorced",24987,34551,29,"NO"
"YES","Married",39476,57194,25,"NO"
"YES","Divorced",97957,59269,6,"NO"
"NO","Single",10987,126953,30,"YES"
"YES","Single",88636,147222,26,"NO"
"YES","Divorced",14310,29106,7,"YES"
"YES","Divorced",78969,155342,14,"NO"
"NO","Single",92040,50495,12,"YES"
"NO","Divorced",38239,28495,30,"NO"
"NO","Divorced",31417,124606,27,"YES"
"YES","Divorced",55299,169128,15,"NO"
"YES","Single",87778,28542,12,"YES"
"YES","Single",10379,128766,5,"YES"
"YES","Divorced",94033,41863,30,"YES"
"YES","Divorced",73854,117788,0,"YES"
"NO","Divorced",64007,147414,21,"NO"
"YES","Married",97200,51911,23,"NO"
"YES","Single",82071,157251,21,"NO"
"YES","Divorced",12514,183767,1,"YES"
"YES","Married",31336,41117,30,"YES"
"YES","Married",10163,193995,5,"YES"
"NO","Married",68513,66912,5,"YES"
"NO","Single",14912,177575,3,"NO"
"NO","Married",74010,54981,16,"YES"
"NO","Single",50777,199697,26,"YES"
"YES","Married",49436,91524,1,"NO"
"NO","Single",96485,51666,12,"NO"
"YES","Divorced",70339,50020,10,"NO"
"YES","Divorced",33614,98880,22,"NO"
"YES","Married",81079,183095,14,"YES"
"YES","Married",31532,137346,27,"YES"
"YES","Single",44034,34964,2,"NO"
"NO","Married",16264,35480,12,"NO"
"NO","Divorced",45706,160195,15,"YES"
"YES","Single",79616,145804,3,"YES"
"YES","Single",40137,174042,30,"NO"
"NO","Single",97703,91828,23,"NO"
